bridge_fraction,noise_mode,seed,L_gov
0.2,oracle,10,0.06844303035036822
0.2,oracle,11,0.03210095669994464
0.2,oracle,12,0.050283005498322625
0.2,oracle,13,0.03634588912475302
0.2,oracle,14,0.04574071849746925
0.2,oracle,15,0.04070230832023605
0.2,oracle,16,0.075604236126236
0.2,oracle,17,0.03260371420826979
0.2,oracle,18,0.04512510768396896
0.2,oracle,19,0.0462690682806796
0.2,oracle,20,0.04332516310610226
0.2,oracle,21,0.035910834088796945
0.2,oracle,22,0.0387964214378492
0.2,oracle,23,0.038833317821257624
0.2,oracle,24,0.04540418668208299
0.2,oracle,25,0.06482221107565125
0.2,oracle,26,0.048165864660357105
0.2,oracle,27,0.056929882301836085
0.2,oracle,28,0.02206673230838936
0.2,oracle,29,0.049279237878851544
0.2,oracle,30,0.04032448028945802
0.2,oracle,31,0.0475662951920674
0.2,oracle,32,0.0772157411390567
0.2,oracle,33,0.06803611996743879
0.2,oracle,34,0.051447061748035414
0.2,oracle,35,0.09405090543778594
0.2,oracle,36,0.05061796359243918
0.2,oracle,37,0.029523743401324246
0.2,oracle,38,0.04889661453855368
0.2,oracle,39,0.04477695100719377
0.2,oracle,40,0.06087226239279071
0.2,oracle,41,0.036796109847710944
0.2,oracle,42,0.04686060389634387
0.2,oracle,43,0.0910451469823063
0.2,oracle,44,0.03497634720297625
0.2,oracle,45,0.025353394617900493
0.2,oracle,46,0.04884082619161261
0.2,oracle,47,0.059047162692641576
0.2,oracle,48,0.03584896367298374
0.2,oracle,49,0.022848589735097576
0.2,oracle,50,0.036248186056974156
0.2,fp_heavy,1,0.1112104567114541
0.2,fp_heavy,2,0.07041478857059397
0.2,fp_heavy,3,0.08349623684972075
0.2,fp_heavy,4,0.07018274126170257
0.2,fp_heavy,5,0.10068512948182518
0.2,fp_heavy,6,0.1323044693990882
0.2,fp_heavy,7,0.1251045661043542
0.2,fp_heavy,8,0.09645923453340854
0.2,fp_heavy,9,0.0989593187240777
0.2,fp_heavy,10,0.1278525928503682
0.2,fp_heavy,11,0.07174267197772241
0.2,fp_heavy,12,0.10732557216498928
0.2,fp_heavy,13,0.07918784468030857
0.2,fp_heavy,14,0.09865546849746926
0.2,fp_heavy,15,0.08466693609801383
0.2,fp_heavy,16,0.1422731639040138
0.2,fp_heavy,17,0.07480281837493646
0.2,fp_heavy,18,0.10233835073952452
0.2,fp_heavy,19,0.10177918078067959
0.2,fp_heavy,20,0.09217148949499115
0.2,fp_heavy,21,0.08441828547768583
0.2,fp_heavy,22,0.08445897421562698
0.2,fp_heavy,23,0.08701701921014651
0.2,fp_heavy,24,0.09841899501541632
0.2,fp_heavy,25,0.12429081663120682
0.2,fp_heavy,26,0.10414817299369043
0.2,fp_heavy,27,0.11366027813516942
0.2,fp_heavy,28,0.05898527397505602
0.2,fp_heavy,29,0.097962457323296
0.2,fp_heavy,30,0.0874685594561247
0.2,fp_heavy,31,0.09672369796984517
0.2,fp_heavy,32,0.13637220225016783
0.2,fp_heavy,33,0.13105117830077212
0.2,fp_heavy,34,0.1060001617480354
0.2,fp_heavy,35,0.16372077071556373
0.2,fp_heavy,36,0.10442561637021697
0.2,fp_heavy,37,0.07338434340132426
0.2,fp_heavy,38,0.10126903120522034
0.2,fp_heavy,39,0.10319241350719377
0.2,fp_heavy,40,0.11747497072612406
0.2,fp_heavy,41,0.08561560151437761
0.2,fp_heavy,42,0.10233753445189941
0.2,fp_heavy,43,0.1716432733711952
0.2,fp_heavy,44,0.08116689720297625
0.2,fp_heavy,45,0.06389278211790049
0.2,fp_heavy,46,0.10450295535827928
0.2,fp_heavy,47,0.11411785158153046
0.2,fp_heavy,48,0.08067612895076151
0.2,fp_heavy,49,0.058732430012875356
0.2,fp_heavy,50,0.08316763883475192
