seed,steps,n,topology,num_communities,p_in,p_out,bridge_fraction,delay_steps,k,alarm_threshold,influence_weight,learning,regulator,regulator_force,enable_content,enable_noise,bridge_multiplier,name,condition,L_mean_tail,L_max,L_amp_tail,L_std_tail,M_mean_tail,M_max,M_amp_tail,M_std_tail,R_mean_tail,R_max,R_amp_tail,R_std_tail,alarm_true_mean_tail,alarm_true_max,alarm_true_amp_tail,alarm_true_std_tail,alarm_delayed_mean_tail,alarm_delayed_max,alarm_delayed_amp_tail,alarm_delayed_std_tail,avg_repression_mean_tail,avg_repression_max,avg_repression_amp_tail,avg_repression_std_tail,punished_fraction_mean_tail,punished_fraction_max,punished_fraction_amp_tail,punished_fraction_std_tail,usefulness_mean_tail,usefulness_max,usefulness_amp_tail,usefulness_std_tail,bridge_radical_fraction_mean_tail,bridge_radical_fraction_max,bridge_radical_fraction_amp_tail,bridge_radical_fraction_std_tail,dangerous_radical_bridge_fraction_mean_tail,dangerous_radical_bridge_fraction_max,dangerous_radical_bridge_fraction_amp_tail,dangerous_radical_bridge_fraction_std_tail,false_positive_rate_mean_tail,false_positive_rate_max,false_positive_rate_amp_tail,false_positive_rate_std_tail,false_negative_rate_mean_tail,false_negative_rate_max,false_negative_rate_amp_tail,false_negative_rate_std_tail,false_positive_bridge_rate_mean_tail,false_positive_bridge_rate_max,false_positive_bridge_rate_amp_tail,false_positive_bridge_rate_std_tail,false_negative_bridge_rate_mean_tail,false_negative_bridge_rate_max,false_negative_bridge_rate_amp_tail,false_negative_bridge_rate_std_tail,regime
25,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.38300000000000006,0.7708333333333334,0.13333333333333336,0.025623340054636817,0.39526666666666666,0.45416666666666666,0.11249999999999999,0.02473382748832502,0.22173333333333334,0.37916666666666665,0.11666666666666664,0.02013554071784515,0.6212083593631204,0.8000170970732855,0.15256628465819266,0.029454666639189338,0.619490456656055,0.8000170970732855,0.15256628465819266,0.028584625102840627,0.20207402045441758,0.5134708039609103,0.21010465870041636,0.041784113308305885,0.2007666666666667,0.5083333333333333,0.24583333333333335,0.04767477786465758,2.2166918204917527,2.4410763403929088,0.26559707114176767,0.04902984452814462,0.3576666666666667,0.625,0.5,0.08631080787222163,0.09900000000000002,0.20833333333333334,0.20833333333333334,0.044304501903180096,0.0759,0.12916666666666668,0.09583333333333333,0.017066731770709158,0.05050000000000001,0.0875,0.06249999999999999,0.011311253000638101,0.066,0.25,0.25,0.05032781426695271,0.075,0.20833333333333334,0.20833333333333334,0.04714045207910317,stable
26,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.4148666666666666,0.8166666666666667,0.14583333333333331,0.026073272820180356,0.40603333333333336,0.4708333333333333,0.11666666666666664,0.02437243433790633,0.1791,0.39166666666666666,0.09166666666666665,0.020158979251054466,0.5483649485369049,0.8008639710984947,0.1684089964935056,0.029230281359283995,0.5486321836371115,0.8008639710984947,0.15841263173231562,0.028451791318584465,0.11461862458719307,0.5072699635125291,0.16744903274207137,0.02851762681840722,0.11356666666666668,0.5208333333333334,0.18333333333333332,0.032582817557725116,2.1359874146373254,2.4507978068814835,0.28978349831859185,0.05030820438826865,0.22100000000000003,0.4583333333333333,0.29166666666666663,0.06416645021608515,0.061000000000000006,0.16666666666666666,0.16666666666666666,0.03517574922206111,0.07433333333333332,0.11666666666666667,0.07500000000000001,0.015095989165632337,0.05303333333333333,0.09166666666666666,0.06666666666666665,0.01386818901899836,0.06633333333333333,0.2916666666666667,0.2916666666666667,0.051665591386660166,0.037333333333333336,0.125,0.125,0.03408486141643791,stable
27,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.35356666666666664,0.8125,0.12083333333333335,0.020559561171278818,0.41666666666666674,0.5083333333333333,0.10000000000000003,0.02081665999466133,0.22976666666666665,0.3875,0.10833333333333336,0.0198445626474021,0.6408555043834949,0.8394551756991049,0.15020675191119803,0.026403961698362476,0.6387502025995053,0.8394551756991049,0.1120497857795717,0.02435954464986008,0.22834619246295162,0.5658358519123566,0.1719016302818168,0.03798945321463295,0.22669999999999998,0.5958333333333333,0.2041666666666667,0.0443129527088613,2.2403618851055938,2.4801847497802285,0.27505418519316427,0.04406363688366514,0.32533333333333336,0.625,0.375,0.07297183627187197,0.06066666666666666,0.16666666666666666,0.16666666666666666,0.037455158374900634,0.07079999999999999,0.11666666666666667,0.07500000000000001,0.015270669053231866,0.05243333333333333,0.09166666666666666,0.05416666666666666,0.012249535138572042,0.050666666666666665,0.16666666666666666,0.16666666666666666,0.04427941583474952,0.06633333333333333,0.16666666666666666,0.16666666666666666,0.0428485705712571,stable
28,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.4264333333333333,0.8083333333333333,0.125,0.024170137681766637,0.3670333333333334,0.43333333333333335,0.1375,0.02285227924445758,0.2065333333333333,0.3541666666666667,0.09166666666666667,0.019114683128713148,0.5564194774424132,0.7462849110621693,0.15567007815498318,0.027920716426816462,0.5552002653507545,0.7462849110621693,0.15567007815498318,0.027931788544904624,0.11961590593428571,0.4100380367610938,0.15945122903148842,0.02801196954256452,0.1219666666666667,0.43333333333333335,0.17500000000000002,0.03455018893661156,2.1258682672608233,2.3695781641365445,0.23275944646563618,0.04633831683788017,0.22566666666666665,0.375,0.2916666666666667,0.06458930079957344,0.026666666666666665,0.125,0.125,0.029533408577782246,0.0703,0.12083333333333333,0.08333333333333334,0.015092087698894117,0.06263333333333333,0.1,0.07083333333333333,0.013993411147949435,0.07166666666666667,0.20833333333333334,0.16666666666666666,0.04760952285695234,0.072,0.20833333333333334,0.20833333333333334,0.04841257871439795,stable
29,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.3614,0.7791666666666667,0.11666666666666664,0.023979991659714983,0.40946666666666665,0.4875,0.12916666666666665,0.02260393279448905,0.22913333333333336,0.37083333333333335,0.10833333333333334,0.019035755829490984,0.6222346282687902,0.8085482714341963,0.1492874631525014,0.02812325561846549,0.6208703777659801,0.8085482714341963,0.1492874631525014,0.027607488517028198,0.20137534790323075,0.5203121333972286,0.21550859740200312,0.04043018310615303,0.20136666666666667,0.5208333333333334,0.2416666666666667,0.047763235512961924,2.238326988114884,2.430497382005667,0.2246616360638516,0.04612172587527116,0.2763333333333333,0.4583333333333333,0.3333333333333333,0.07574371994502983,0.06666666666666667,0.20833333333333334,0.20833333333333334,0.03726779962499649,0.06986666666666665,0.1125,0.08333333333333334,0.016203017551609876,0.05806666666666667,0.09583333333333334,0.07083333333333333,0.012073202649762083,0.06533333333333333,0.20833333333333334,0.20833333333333334,0.04897164712588522,0.07333333333333333,0.16666666666666666,0.16666666666666666,0.042622372841814735,stable
30,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.35063333333333335,0.8541666666666666,0.10416666666666663,0.0234464875360421,0.4157333333333333,0.475,0.12083333333333329,0.02416875853015394,0.23363333333333333,0.375,0.12083333333333332,0.022590410945059557,0.6395224887981812,0.7817887782924126,0.14807901920978983,0.028954116131774014,0.6404220310117291,0.7817887782924126,0.15229805900814164,0.029733069388837886,0.2312998977501513,0.4780938990363285,0.23764806397950575,0.046840572495009954,0.23153333333333334,0.5291666666666667,0.29583333333333334,0.054671585144590626,2.2430762169562093,2.4138760353649737,0.21371164199566017,0.04365361599221162,0.26599999999999996,0.5,0.375,0.07336817354199904,0.02733333333333333,0.125,0.08333333333333333,0.028917507192395095,0.07293333333333331,0.10833333333333334,0.07083333333333333,0.015622490909654011,0.04933333333333333,0.0875,0.05833333333333333,0.011060440015358037,0.05633333333333333,0.20833333333333334,0.16666666666666666,0.03882152896410845,0.029666666666666668,0.125,0.125,0.033256578296631784,stable
31,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.3998333333333332,0.7708333333333334,0.12083333333333335,0.023472205785661563,0.3932666666666666,0.45,0.12083333333333335,0.022259729458274095,0.20689999999999995,0.3458333333333333,0.11250000000000002,0.019018295285213014,0.5929446732062649,0.7866605233438223,0.17618792059942612,0.029130980239764813,0.5927921245143688,0.7866605233438223,0.17618792059942612,0.02946120564680795,0.1660508643204892,0.4921342018104035,0.2486671887042899,0.038458954989315196,0.1664,0.5041666666666667,0.23333333333333334,0.04460550539015461,2.1702154201143857,2.4105094913778626,0.2564851082375079,0.04614769976786998,0.22699999999999995,0.4166666666666667,0.2916666666666667,0.06507602391732986,0.05999999999999999,0.125,0.125,0.029059326290271158,0.07229999999999999,0.12083333333333333,0.07916666666666666,0.014787907973145565,0.043233333333333325,0.075,0.05,0.011494733093416695,0.05866666666666666,0.20833333333333334,0.20833333333333334,0.04746226571358206,0.03266666666666667,0.125,0.125,0.03439315177312031,stable
32,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.37370000000000003,0.7916666666666666,0.1333333333333333,0.024907696267084466,0.40976666666666667,0.4666666666666667,0.12083333333333335,0.023505933057185558,0.21653333333333333,0.4083333333333333,0.11250000000000002,0.022803118695086912,0.6249582544757499,0.8694077291407589,0.1615558572634288,0.03157068116921141,0.6246118149620041,0.8694077291407589,0.1615558572634288,0.03167552268568694,0.21056665113501713,0.6089730702581957,0.24695018195716328,0.0475572530336158,0.2081,0.6041666666666666,0.30000000000000004,0.05701682013035958,2.220545265144432,2.5078244426200706,0.24659045602799612,0.04937828519850881,0.19733333333333336,0.5,0.3333333333333333,0.06793460908190399,0.02033333333333333,0.125,0.08333333333333333,0.026674998698323404,0.07813333333333335,0.14583333333333334,0.1,0.017365802921578695,0.05006666666666667,0.09583333333333334,0.07083333333333333,0.013027577586711114,0.07033333333333334,0.20833333333333334,0.20833333333333334,0.050115422332407365,0.06399999999999999,0.20833333333333334,0.20833333333333334,0.04700590979393501,stable
33,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.3722666666666667,0.8083333333333333,0.11249999999999999,0.02700362115634782,0.40213333333333334,0.4625,0.125,0.024555017590889416,0.22559999999999997,0.4041666666666667,0.11666666666666667,0.021715995129038976,0.6417808881892231,0.884426827614645,0.13485718503864663,0.032907001851818,0.6424481345877744,0.884426827614645,0.13485718503864663,0.03315404808656399,0.24159876541896805,0.6336961225621724,0.21514421612159917,0.05358714851724775,0.2365,0.6083333333333333,0.26249999999999996,0.05561874184521297,2.2222636728876624,2.520797664964891,0.2141717837819006,0.05167496869092208,0.2753333333333333,0.5,0.4166666666666667,0.07185943068086315,0.035666666666666666,0.125,0.125,0.03444157694157197,0.0767,0.12916666666666668,0.08750000000000002,0.017441139106530095,0.048333333333333325,0.07916666666666666,0.0625,0.012758439472669757,0.07299999999999998,0.20833333333333334,0.20833333333333334,0.049904352960883525,0.049,0.20833333333333334,0.20833333333333334,0.04218477871881699,stable
34,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.38416666666666666,0.8291666666666667,0.1333333333333333,0.024175285819291657,0.39590000000000003,0.475,0.10000000000000003,0.021583069496456914,0.21993333333333331,0.35,0.08750000000000002,0.019519107447717877,0.6015515587627006,0.776929338662343,0.1447681117083338,0.02764516298428702,0.6027046503179352,0.776929338662343,0.13907430581176283,0.026216205368222893,0.17409404841403184,0.46417345731714765,0.1843396313507358,0.03500672128753853,0.1743333333333333,0.49583333333333335,0.19583333333333333,0.04173461126903877,2.226792024778202,2.4512975346622996,0.24931433087495458,0.04807418739519572,0.16900000000000004,0.5833333333333334,0.375,0.0637495098020369,0.02466666666666666,0.20833333333333334,0.125,0.028429249413627195,0.08056666666666665,0.1375,0.09583333333333333,0.01688148229405358,0.040999999999999995,0.075,0.058333333333333334,0.01137003860054036,0.095,0.3333333333333333,0.3333333333333333,0.05390320542932077,0.05533333333333333,0.16666666666666666,0.125,0.04108798148147731,stable
35,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.35669999999999996,0.8458333333333333,0.12916666666666665,0.02465256353584529,0.40590000000000004,0.4666666666666667,0.15000000000000002,0.025452482961174708,0.23739999999999997,0.3958333333333333,0.12916666666666668,0.023719799511987633,0.6423118422712835,0.8530333803061936,0.15191723751961683,0.030692054608169088,0.6414271386572532,0.8530333803061936,0.15569864243201326,0.030483342699773996,0.2365243440333404,0.5908687894891523,0.2430699002251142,0.04931484707706179,0.24110000000000004,0.6041666666666666,0.30416666666666664,0.055541135906441254,2.2732412649638,2.519586612745793,0.24215039290126006,0.04813205041441096,0.3763333333333333,0.5416666666666666,0.33333333333333326,0.07167364307129302,0.157,0.25,0.20833333333333334,0.0471805044483418,0.08146666666666667,0.125,0.07916666666666666,0.016620402455349206,0.04493333333333333,0.09583333333333334,0.05416666666666667,0.010923776310822595,0.065,0.20833333333333334,0.20833333333333334,0.04422166387140533,0.095,0.2916666666666667,0.25,0.054160256030906406,stable
36,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.40183333333333326,0.7833333333333333,0.14583333333333331,0.02599358895317587,0.4119,0.475,0.14166666666666666,0.025438946519067963,0.1862666666666667,0.3875,0.08333333333333334,0.019097876554446804,0.5897265326464977,0.8159761704282501,0.17460178237998292,0.029524273684562684,0.5898464708342894,0.8159761704282501,0.17460178237998292,0.029057388820468977,0.16255643781207424,0.5394786528205907,0.2030192180209338,0.03592812032762398,0.16366666666666668,0.5958333333333333,0.19166666666666665,0.04290687590584987,2.123756247363231,2.4199226535450507,0.2628009246749532,0.047895058986352865,0.22366666666666665,0.4583333333333333,0.33333333333333337,0.0686245825731081,0.08433333333333333,0.20833333333333334,0.16666666666666666,0.03817503547258776,0.0687,0.125,0.08333333333333334,0.016977239665701447,0.05556666666666666,0.08333333333333333,0.05416666666666666,0.01319663256710253,0.07266666666666668,0.20833333333333334,0.20833333333333334,0.048563818264675644,0.08,0.25,0.25,0.0484767985741633,stable
37,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.0,default,default,0.3850333333333333,0.8166666666666667,0.11250000000000004,0.023292201842390656,0.4064666666666666,0.4708333333333333,0.12083333333333335,0.02314480983335621,0.2085,0.3375,0.10833333333333334,0.01841195263952197,0.5920075633219665,0.7496014239692816,0.1244933271991363,0.02593425818586192,0.5928904035768233,0.7496014239692816,0.1337961449931523,0.026752821766768128,0.16198446658332344,0.417574797921832,0.16053235772594715,0.03242244739571707,0.16256666666666666,0.39166666666666666,0.19583333333333333,0.0412848640545176,2.187389261056565,2.406001294076364,0.21311471805689397,0.043554357002044,0.22466666666666665,0.4583333333333333,0.375,0.06889928237007342,0.05,0.125,0.125,0.03535533905932738,0.0715,0.1125,0.07916666666666666,0.017251408960172243,0.04293333333333333,0.07916666666666666,0.06666666666666667,0.010944608007802035,0.06366666666666666,0.20833333333333334,0.20833333333333334,0.04789340014843149,0.03333333333333333,0.16666666666666666,0.125,0.02981423969999719,stable
