p_out,placement,seed,radical_fraction,bridge_radical
0.02,nonbridge_biased,2,0.2595,0.38457142857142856
0.02,nonbridge_biased,3,0.24486666666666668,0.2247142857142857
0.02,nonbridge_biased,4,0.22513333333333332,0.3052857142857143
0.02,nonbridge_biased,5,0.2109333333333333,0.2581428571428571
0.02,nonbridge_biased,6,0.24605,0.3892857142857143
0.02,nonbridge_biased,7,0.25461666666666666,0.40571428571428564
0.02,nonbridge_biased,8,0.2432666666666667,0.2684285714285714
0.02,nonbridge_biased,9,0.25275,0.3558571428571428
0.02,nonbridge_biased,10,0.23313333333333333,0.26442857142857146
0.02,nonbridge_biased,11,0.23391666666666666,0.2778571428571429
0.02,nonbridge_biased,12,0.23168333333333332,0.2661428571428572
0.02,nonbridge_biased,13,0.24689999999999998,0.31142857142857144
0.02,nonbridge_biased,14,0.2545333333333333,0.45557142857142857
0.02,nonbridge_biased,15,0.2609166666666667,0.378
0.02,nonbridge_biased,16,0.2379,0.24057142857142855
0.02,nonbridge_biased,17,0.23626666666666668,0.25199999999999995
0.02,nonbridge_biased,18,0.24758333333333332,0.29928571428571427
0.02,nonbridge_biased,19,0.22538333333333332,0.2881428571428571
0.02,nonbridge_biased,20,0.23681666666666668,0.2981428571428571
0.02,nonbridge_biased,21,0.26613333333333333,0.30785714285714283
0.02,nonbridge_biased,22,0.23798333333333335,0.23214285714285715
0.02,nonbridge_biased,23,0.23460000000000003,0.21285714285714283
0.02,nonbridge_biased,24,0.2415333333333333,0.217
0.02,nonbridge_biased,25,0.25365,0.27814285714285714
0.02,nonbridge_biased,26,0.24458333333333332,0.2394285714285714
0.02,nonbridge_biased,27,0.2667166666666667,0.31771428571428567
0.02,nonbridge_biased,28,0.24783333333333332,0.2818571428571429
0.02,nonbridge_biased,29,0.2114666666666667,0.15128571428571427
0.02,nonbridge_biased,30,0.24753333333333333,0.299
0.02,nonbridge_biased,31,0.27176666666666666,0.3405714285714286
0.02,nonbridge_biased,32,0.24646666666666667,0.3295714285714286
0.02,nonbridge_biased,33,0.21853333333333333,0.2367142857142857
0.02,nonbridge_biased,34,0.2641,0.3191428571428571
0.02,nonbridge_biased,35,0.2431333333333333,0.21714285714285714
0.02,nonbridge_biased,36,0.23735000000000003,0.333
0.02,nonbridge_biased,37,0.23031666666666667,0.26928571428571435
0.02,nonbridge_biased,38,0.22043333333333334,0.13771428571428573
0.02,nonbridge_biased,39,0.25139999999999996,0.35857142857142854
0.02,nonbridge_biased,40,0.24201666666666666,0.2541428571428571
0.02,nonbridge_biased,41,0.23295,0.2682857142857143
0.02,nonbridge_biased,42,0.22813333333333333,0.2608571428571429
0.02,nonbridge_biased,43,0.21613333333333334,0.22257142857142856
0.02,nonbridge_biased,44,0.2598,0.3067142857142858
0.02,nonbridge_biased,45,0.23043333333333332,0.24557142857142855
0.02,nonbridge_biased,46,0.23506666666666667,0.31785714285714284
0.02,nonbridge_biased,47,0.23496666666666663,0.30971428571428566
0.02,nonbridge_biased,48,0.24023333333333335,0.2662857142857143
0.02,nonbridge_biased,49,0.23513333333333336,0.34
0.02,nonbridge_biased,50,0.22393333333333335,0.251
0.04,bridge_biased,1,0.2693833333333333,0.3941428571428572
0.04,bridge_biased,2,0.26306666666666667,0.3121428571428571
0.04,bridge_biased,3,0.26458333333333334,0.2841428571428571
0.04,bridge_biased,4,0.2711166666666667,0.2931428571428571
0.04,bridge_biased,5,0.2687166666666667,0.3521428571428571
0.04,bridge_biased,6,0.2673833333333333,0.3164285714285714
0.04,bridge_biased,7,0.2656833333333333,0.32242857142857145
0.04,bridge_biased,8,0.24036666666666667,0.33885714285714286
0.04,bridge_biased,9,0.28809999999999997,0.4332857142857142
0.04,bridge_biased,10,0.2769666666666667,0.3692857142857143
0.04,bridge_biased,11,0.26204999999999995,0.30685714285714283
0.04,bridge_biased,12,0.2743333333333334,0.27442857142857147
0.04,bridge_biased,13,0.2563666666666667,0.301
0.04,bridge_biased,14,0.27785,0.35314285714285715
0.04,bridge_biased,15,0.28855000000000003,0.433
0.04,bridge_biased,16,0.2687,0.3212857142857143
0.04,bridge_biased,17,0.29564999999999997,0.335
0.04,bridge_biased,18,0.2821666666666666,0.247
0.04,bridge_biased,19,0.26145000000000007,0.31442857142857145
0.04,bridge_biased,20,0.28023333333333333,0.3418571428571429
0.04,bridge_biased,21,0.2577,0.31957142857142856
0.04,bridge_biased,22,0.2510833333333333,0.234
0.04,bridge_biased,23,0.27668333333333334,0.319
0.04,bridge_biased,24,0.26511666666666667,0.2755714285714286
0.04,bridge_biased,25,0.26263333333333333,0.3381428571428572
0.04,bridge_biased,26,0.266,0.31885714285714284
0.04,bridge_biased,27,0.2875333333333333,0.3687142857142857
0.04,bridge_biased,28,0.2622833333333333,0.322
0.04,bridge_biased,29,0.25099999999999995,0.3118571428571429
0.04,bridge_biased,30,0.2680333333333333,0.3051428571428571
0.04,bridge_biased,31,0.2757833333333333,0.34914285714285714
0.04,bridge_biased,32,0.2743166666666667,0.26442857142857146
0.04,bridge_biased,33,0.2778833333333333,0.35314285714285715
0.04,bridge_biased,34,0.28245,0.35457142857142854
0.04,bridge_biased,35,0.26233333333333336,0.3077142857142857
0.04,bridge_biased,36,0.26258333333333334,0.2201428571428571
0.04,bridge_biased,37,0.27085000000000004,0.33714285714285713
0.04,bridge_biased,38,0.20881666666666665,0.1807142857142857
0.04,bridge_biased,39,0.27451666666666663,0.38014285714285717
0.04,bridge_biased,40,0.2838333333333333,0.37542857142857144
0.04,bridge_biased,41,0.2658666666666667,0.388
0.04,bridge_biased,42,0.27118333333333333,0.3311428571428572
0.04,bridge_biased,43,0.2771,0.35157142857142853
0.04,bridge_biased,44,0.27206666666666673,0.405
