seed,steps,n,topology,num_communities,p_in,p_out,bridge_fraction,delay_steps,k,alarm_threshold,influence_weight,learning,regulator,regulator_force,enable_content,enable_noise,bridge_multiplier,name,noise_mode,condition,L_mean_tail,L_max,L_amp_tail,L_std_tail,M_mean_tail,M_max,M_amp_tail,M_std_tail,R_mean_tail,R_max,R_amp_tail,R_std_tail,alarm_true_mean_tail,alarm_true_max,alarm_true_amp_tail,alarm_true_std_tail,alarm_delayed_mean_tail,alarm_delayed_max,alarm_delayed_amp_tail,alarm_delayed_std_tail,avg_repression_mean_tail,avg_repression_max,avg_repression_amp_tail,avg_repression_std_tail,punished_fraction_mean_tail,punished_fraction_max,punished_fraction_amp_tail,punished_fraction_std_tail,usefulness_mean_tail,usefulness_max,usefulness_amp_tail,usefulness_std_tail,bridge_radical_fraction_mean_tail,bridge_radical_fraction_max,bridge_radical_fraction_amp_tail,bridge_radical_fraction_std_tail,dangerous_radical_bridge_fraction_mean_tail,dangerous_radical_bridge_fraction_max,dangerous_radical_bridge_fraction_amp_tail,dangerous_radical_bridge_fraction_std_tail,false_positive_rate_mean_tail,false_positive_rate_max,false_positive_rate_amp_tail,false_positive_rate_std_tail,false_negative_rate_mean_tail,false_negative_rate_max,false_negative_rate_amp_tail,false_negative_rate_std_tail,false_positive_bridge_rate_mean_tail,false_positive_bridge_rate_max,false_positive_bridge_rate_amp_tail,false_positive_bridge_rate_std_tail,false_negative_bridge_rate_mean_tail,false_negative_bridge_rate_max,false_negative_bridge_rate_amp_tail,false_negative_bridge_rate_std_tail,regime
16,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,2.0,default,default,default,0.3360666666666667,0.7791666666666667,0.12083333333333335,0.022243001396194513,0.4194333333333333,0.4875,0.12916666666666665,0.026278127787192147,0.24449999999999997,0.4041666666666667,0.12083333333333332,0.021039645117412666,0.6538104439404375,0.8373811525438716,0.12890918792425077,0.025231755594038573,0.6531971338842317,0.8373811525438716,0.12890918792425077,0.02524797719208434,0.2580292056877601,0.5735291264400776,0.20499892578861226,0.042269418436424545,0.2596666666666667,0.5958333333333333,0.20833333333333331,0.04805552344250693,2.3063479669848643,2.52546688370161,0.22295613039083628,0.04188003527617393,0.2856666666666666,0.5416666666666666,0.4583333333333333,0.08227730887404835,0.024999999999999998,0.125,0.08333333333333333,0.025276251480171836,0.06483333333333333,0.10416666666666667,0.06666666666666668,0.014047538337136983,0.0649,0.11666666666666667,0.07500000000000001,0.01423282590820717,0.059333333333333335,0.25,0.25,0.048092503458323825,0.057,0.20833333333333334,0.16666666666666666,0.042666666666666665,stable
17,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,2.0,default,default,default,0.38996666666666663,0.7791666666666667,0.10416666666666663,0.02295585134799211,0.4208666666666666,0.49583333333333335,0.1291666666666667,0.021733844574764034,0.18916666666666665,0.3458333333333333,0.08333333333333334,0.01854424139426817,0.5874658725537251,0.7796551142615921,0.13616351082276967,0.027353409724591025,0.5877574514356385,0.7796551142615921,0.15235937981240832,0.02799221066853504,0.16483993334153782,0.49138235175116657,0.20087969592839305,0.0359274087323788,0.1667,0.5041666666666667,0.225,0.043251512497637964,2.203031494245566,2.45642467813675,0.19897999756414242,0.04526657811411021,0.1756666666666667,0.4583333333333333,0.3333333333333333,0.06402777175222917,0.03833333333333334,0.16666666666666666,0.125,0.03274480450731416,0.07936666666666664,0.12916666666666668,0.07500000000000001,0.015597863101506352,0.04819999999999999,0.08333333333333333,0.04583333333333333,0.010479291748756477,0.08166666666666665,0.25,0.25,0.05461989869391312,0.07966666666666668,0.25,0.20833333333333334,0.04830918937197951,stable
18,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,2.0,default,default,default,0.3624333333333333,0.85,0.12083333333333335,0.02529264275985762,0.4243666666666666,0.4875,0.1375,0.027371193291893983,0.21319999999999997,0.38333333333333336,0.11250000000000002,0.022935513462265848,0.6273215009870008,0.8045229191925369,0.1410456014932493,0.03104990598295174,0.6275219813318507,0.8045229191925369,0.1410456014932493,0.030880789318213232,0.22148748355298134,0.5334068721709166,0.21579204905771782,0.04762226191035066,0.21950000000000003,0.5583333333333333,0.25416666666666665,0.056242530368238425,2.2080011243394795,2.377670788975869,0.22117539781289963,0.04705364556376606,0.19333333333333333,0.4166666666666667,0.3333333333333333,0.07310570733153769,0.0029999999999999996,0.125,0.041666666666666664,0.010770329614269004,0.07793333333333334,0.12916666666666668,0.075,0.015411251301132776,0.04783333333333333,0.0875,0.05416666666666667,0.011037813793198965,0.10133333333333333,0.3333333333333333,0.3333333333333333,0.06243574474787838,0.035333333333333335,0.125,0.125,0.030757112998459395,stable
19,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,2.0,default,default,default,0.36996666666666667,0.8375,0.12916666666666665,0.0256108483958567,0.40123333333333333,0.5041666666666667,0.1333333333333333,0.024653284658325846,0.22880000000000003,0.425,0.1,0.020048663019984373,0.6231138206156415,0.8737831019538339,0.14483442844637717,0.028761681507247457,0.6241771939712865,0.8737831019538339,0.14483442844637717,0.029185196449093214,0.21382696159351522,0.6212846974830681,0.2134408218981883,0.04423491971568109,0.21720000000000003,0.6375,0.23333333333333334,0.05698921925339135,2.2561973146673164,2.5340120650933002,0.2531506076279957,0.050474788770067544,0.29733333333333334,0.5416666666666666,0.375,0.0822165163185327,0.07766666666666666,0.16666666666666666,0.16666666666666666,0.04060103994289363,0.076,0.12916666666666668,0.08750000000000002,0.014779866184930242,0.04503333333333332,0.075,0.05416666666666667,0.01115168148756052,0.08099999999999999,0.2916666666666667,0.2916666666666667,0.053047148839499375,0.052000000000000005,0.16666666666666666,0.16666666666666666,0.03713937712635113,stable
20,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,2.0,default,default,default,0.35009999999999997,0.7916666666666666,0.1333333333333333,0.02342520010586889,0.4192333333333333,0.5,0.125,0.023444876246681748,0.23066666666666666,0.3875,0.11250000000000002,0.022818121453499776,0.6405634262246139,0.7854297478566871,0.15988264436500832,0.030285624424522078,0.6413286497839182,0.7854297478566871,0.15988264436500832,0.03079690631664973,0.23858782312622945,0.4941452375557487,0.2426625858337137,0.04951299622249731,0.239,0.5125,0.2708333333333333,0.05619756815616372,2.2554587298448388,2.40116187102503,0.26578875016419135,0.04619288614623554,0.22166666666666665,0.4583333333333333,0.41666666666666663,0.07684761255599003,0.0026666666666666666,0.08333333333333333,0.041666666666666664,0.010198039027185569,0.06689999999999999,0.11666666666666667,0.0875,0.01494716621228846,0.05836666666666667,0.09583333333333334,0.06666666666666668,0.011989532471655802,0.077,0.25,0.20833333333333334,0.05726546370486608,0.018666666666666665,0.08333333333333333,0.08333333333333333,0.024413111231467405,stable
21,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,2.0,default,default,default,0.3756000000000001,0.7958333333333333,0.14166666666666672,0.026877830600287995,0.42993333333333333,0.49166666666666664,0.125,0.025300329378620093,0.19446666666666668,0.375,0.13333333333333333,0.020828506107416024,0.6020995360187906,0.7910282202488871,0.18421701778639932,0.031160480967666604,0.6021569711815872,0.7910282202488871,0.18421701778639932,0.030936781825158098,0.18498150483968281,0.5102109227277178,0.2612727352272336,0.04279682803499795,0.18656666666666663,0.5208333333333334,0.3583333333333333,0.053027414293614836,2.1841969402701418,2.3763238803514914,0.27588789884968135,0.04922377640433751,0.25466666666666665,0.5,0.2916666666666667,0.060602530200204244,0.016666666666666663,0.08333333333333333,0.08333333333333333,0.0241522945769824,0.07263333333333334,0.1125,0.08333333333333334,0.015396031234632441,0.05736666666666667,0.09583333333333334,0.06249999999999999,0.013177590405263357,0.07266666666666666,0.20833333333333334,0.20833333333333334,0.053204009873943386,0.06033333333333333,0.16666666666666666,0.16666666666666666,0.042313643715053,stable
22,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,2.0,default,default,default,0.39089999999999997,0.7666666666666667,0.1291666666666667,0.02164347476723643,0.4277666666666665,0.5041666666666667,0.10416666666666663,0.02208533953151326,0.18133333333333335,0.3625,0.09999999999999998,0.019519221295943134,0.5783644703266251,0.769251970984854,0.1300766353663506,0.02673633640944973,0.5778202617015578,0.769251970984854,0.12889631309328442,0.026031799049686628,0.15082981479537572,0.4650565751487806,0.1479209024131571,0.0309042857598282,0.15380000000000002,0.4875,0.20833333333333331,0.03923227129686874,2.159129607669211,2.3627095872035797,0.24025728657480316,0.04155164220994272,0.18333333333333335,0.4583333333333333,0.3333333333333333,0.07090682462060884,0.014333333333333332,0.20833333333333334,0.125,0.025875771593433794,0.07936666666666665,0.12083333333333333,0.07916666666666666,0.016286122244959903,0.04716666666666666,0.0875,0.058333333333333334,0.011590225767142474,0.07933333333333331,0.3333333333333333,0.20833333333333334,0.048712307365684174,0.07800000000000001,0.25,0.20833333333333334,0.04563624290699955,stable
23,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,2.0,default,default,default,0.39236666666666675,0.8416666666666667,0.12916666666666665,0.023480109785849714,0.40146666666666664,0.4791666666666667,0.125,0.02441115409898607,0.2061666666666667,0.3875,0.11250000000000002,0.01999722202929419,0.5902877306740149,0.8180873922911748,0.16378086985392015,0.02801197139447637,0.5907732514900665,0.8180873922911748,0.16378086985392015,0.027730758616821897,0.1667098240932202,0.54134929235594,0.21985599519041354,0.03654157769294331,0.16679999999999998,0.5666666666666667,0.2583333333333333,0.044400125124948814,2.180832116269811,2.496416735708787,0.25625412442708884,0.04472690715191134,0.2306666666666667,0.5833333333333334,0.33333333333333337,0.07198456624706283,0.047,0.16666666666666666,0.16666666666666666,0.0345510893862665,0.07873333333333331,0.11666666666666667,0.07916666666666666,0.01628584934502616,0.04936666666666667,0.08333333333333333,0.0625,0.011691117235842869,0.08666666666666666,0.25,0.25,0.05567764362830023,0.05433333333333333,0.16666666666666666,0.16666666666666666,0.040559969318419244,stable
24,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,2.0,default,default,default,0.40216666666666673,0.8291666666666667,0.1166666666666667,0.0235855417105009,0.4154,0.4666666666666667,0.11249999999999999,0.023435632888592715,0.18243333333333336,0.3625,0.10416666666666666,0.020592501332065298,0.576983694439963,0.7672113711163795,0.16132429778196394,0.028863407640322424,0.5767507061198489,0.7672113711163795,0.16132429778196394,0.02939987174535971,0.1494661204337029,0.46308861812821545,0.17551034105775049,0.03461983903900991,0.15206666666666663,0.4791666666666667,0.23750000000000002,0.04319729929829718,2.1772027446061077,2.3714859943169104,0.23687617340223044,0.046868005525519965,0.23833333333333334,0.4583333333333333,0.375,0.062494444197508915,0.010333333333333333,0.08333333333333333,0.08333333333333333,0.01947648154398872,0.08009999999999999,0.12916666666666668,0.09583333333333335,0.01833230300135074,0.04836666666666666,0.08333333333333333,0.07083333333333333,0.013079840298039663,0.082,0.25,0.25,0.05215787998418306,0.043333333333333335,0.16666666666666666,0.125,0.0362859017617954,stable
25,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,2.0,default,default,default,0.3299333333333334,0.7708333333333334,0.1375,0.026927804713096585,0.44226666666666664,0.5125,0.1291666666666666,0.027145206247553587,0.2278,0.37916666666666665,0.12083333333333332,0.022698360195299472,0.6573066603533246,0.8000170970732855,0.16300776226994063,0.03173640949232321,0.65870260293491,0.8000170970732855,0.16300776226994063,0.03143703535094515,0.2721963747517724,0.527487385328084,0.26915881489706406,0.05384699034488918,0.27240000000000003,0.5166666666666667,0.275,0.06209460524071314,2.304637758590578,2.4410763403929088,0.2569919840976471,0.05075567176845348,0.26166666666666666,0.4583333333333333,0.33333333333333337,0.06658328118479392,0.088,0.16666666666666666,0.16666666666666666,0.026985592864012125,0.07693333333333334,0.12916666666666668,0.07916666666666666,0.015189031129952518,0.051333333333333335,0.0875,0.06249999999999999,0.011518101695447333,0.06666666666666667,0.25,0.25,0.050277010429994516,0.07733333333333334,0.20833333333333334,0.20833333333333334,0.04821940595974935,stable
26,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,2.0,default,default,default,0.3680333333333333,0.8166666666666667,0.12083333333333335,0.02490412727954055,0.43870000000000003,0.5083333333333333,0.12916666666666665,0.0248596951800388,0.19326666666666664,0.39166666666666666,0.10416666666666666,0.02087518462992204,0.5885180080763116,0.8008639710984947,0.13421683985083455,0.028519283743884485,0.5885863196783983,0.8008639710984947,0.13421683985083455,0.02814073496005384,0.1616134209165583,0.5136707503167707,0.1665522125080929,0.03499050771209656,0.1612666666666667,0.5208333333333334,0.1875,0.03964783866884942,2.2112257437859584,2.4507978068814835,0.22949368378863255,0.04771914281781279,0.19700000000000004,0.4583333333333333,0.25,0.061322462804786676,0.009333333333333332,0.125,0.08333333333333333,0.019624248039380034,0.07476666666666665,0.1125,0.07083333333333333,0.014807130414469615,0.053266666666666664,0.09166666666666666,0.06666666666666665,0.013587003594121357,0.065,0.2916666666666667,0.2916666666666667,0.04955356249106168,0.036666666666666674,0.125,0.125,0.0339934634239519,stable
27,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,2.0,default,default,default,0.36260000000000003,0.8125,0.10833333333333334,0.02484655129210312,0.4114666666666666,0.4875,0.10833333333333334,0.0238027542757369,0.22593333333333335,0.3875,0.10000000000000003,0.02112702324302009,0.6298758310816492,0.8394551756991049,0.14405138156232256,0.02957201050724873,0.6282585290932321,0.8394551756991049,0.14405138156232256,0.029350697459592828,0.2189630983527531,0.5760597017134803,0.20748630513163902,0.045010181022549924,0.21869999999999995,0.6083333333333333,0.3041666666666667,0.05280892180514787,2.2234082933582417,2.4801847497802285,0.21666074213160513,0.047074614789246266,0.30066666666666664,0.625,0.375,0.07556895306054376,0.05333333333333333,0.16666666666666666,0.16666666666666666,0.028185890875479607,0.06933333333333332,0.12083333333333333,0.07500000000000001,0.014789260367652676,0.05293333333333333,0.0875,0.06249999999999999,0.013437344314343597,0.054000000000000006,0.16666666666666666,0.16666666666666666,0.0437873649964614,0.06666666666666665,0.20833333333333334,0.16666666666666666,0.04472135954999579,stable
28,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,2.0,default,default,default,0.4312,0.8083333333333333,0.11249999999999999,0.022358294508600905,0.38330000000000003,0.44583333333333336,0.11249999999999999,0.02117057706661142,0.18550000000000003,0.3541666666666667,0.09583333333333333,0.017453111788764523,0.5455712857742067,0.7462849110621693,0.17352447083635675,0.026177534869768978,0.5458503402617518,0.7462849110621693,0.17352447083635675,0.02532128491749531,0.11386724321323047,0.42587673358086775,0.1738183674002033,0.024578504575571918,0.11456666666666665,0.4583333333333333,0.2166666666666667,0.03245776743195174,2.103458966880048,2.3695781641365445,0.23012719916136448,0.04437218032910925,0.2513333333333333,0.4583333333333333,0.33333333333333337,0.06644463024871829,0.04699999999999999,0.16666666666666666,0.16666666666666666,0.0357366913845016,0.0699333333333333,0.11666666666666667,0.07083333333333333,0.015106878492189502,0.06143333333333334,0.1,0.06666666666666668,0.013280143908189481,0.07799999999999999,0.25,0.20833333333333334,0.04654030511288039,0.07266666666666667,0.25,0.16666666666666666,0.042460439103816264,stable
29,250,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,2.0,default,default,default,0.3636333333333333,0.7791666666666667,0.11666666666666664,0.02484605937903769,0.4116666666666666,0.5041666666666667,0.15833333333333333,0.026315394733881538,0.2247,0.37083333333333335,0.0916666666666667,0.02081116153520616,0.6178348261445382,0.8085482714341963,0.14171160487606704,0.028358177833075017,0.6187399234781995,0.8085482714341963,0.1440226678501887,0.02936942716722839,0.20505365877792486,0.5246723194575449,0.20822924908881554,0.04354879585116071,0.20463333333333336,0.5208333333333334,0.225,0.050520117005230916,2.22306127432815,2.430497382005667,0.20504508988052494,0.045706264226474023,0.2346666666666667,0.4583333333333333,0.33333333333333337,0.0642339474110069,0.05466666666666667,0.16666666666666666,0.125,0.0318049611783375,0.07036666666666667,0.12083333333333333,0.09583333333333333,0.016408128067109503,0.056,0.09166666666666666,0.07083333333333333,0.012838743448380504,0.06466666666666666,0.20833333333333334,0.20833333333333334,0.04984865985048032,0.06899999999999999,0.20833333333333334,0.20833333333333334,0.041534456913641125,stable
