theta,placement,seed,peak_D,early_D,tail_D,peak_dcomm,bridge_radical_tail
0.0,highdeg_nonbridge,39,0.8041666666666667,0.151875,0.0,6.0,0.4282857142857143
0.0,highdeg_nonbridge,40,0.7791666666666667,0.17270833333333335,0.0,6.0,0.22328571428571425
0.0,highdeg_nonbridge,41,0.8125,0.1343333333333333,0.0,6.0,0.2768571428571429
0.0,highdeg_nonbridge,42,0.7875,0.15216666666666662,0.0,6.0,0.3484285714285714
0.0,highdeg_nonbridge,43,0.8125,0.14654166666666665,0.0,6.0,0.2957142857142857
0.0,highdeg_nonbridge,44,0.825,0.13841666666666666,0.0,6.0,0.2824285714285714
0.0,highdeg_nonbridge,45,0.8166666666666667,0.15579166666666663,0.0,6.0,0.31828571428571434
0.0,highdeg_nonbridge,46,0.8083333333333333,0.14462499999999998,0.0,6.0,0.33671428571428574
0.0,highdeg_nonbridge,47,0.7625,0.17425000000000002,0.0,6.0,0.31142857142857144
0.0,highdeg_nonbridge,48,0.8,0.1599583333333333,0.0,6.0,0.3308571428571429
0.0,highdeg_nonbridge,49,0.8041666666666667,0.15129166666666666,0.0,6.0,0.18028571428571427
0.0,highdeg_nonbridge,50,0.7958333333333333,0.1572916666666667,0.0,6.0,0.4187142857142857
0.2,bridge_biased,1,0.8083333333333333,0.16070833333333334,0.0,6.0,0.37128571428571433
0.2,bridge_biased,2,0.7916666666666666,0.12725,0.0,6.0,0.33171428571428574
0.2,bridge_biased,3,0.75,0.14370833333333333,0.0,6.0,0.23285714285714285
0.2,bridge_biased,4,0.8041666666666667,0.17675000000000002,0.0,6.0,0.25071428571428567
0.2,bridge_biased,5,0.7916666666666666,0.14787499999999998,0.0,6.0,0.34814285714285714
0.2,bridge_biased,6,0.8041666666666667,0.12920833333333331,0.0,6.0,0.36157142857142854
0.2,bridge_biased,7,0.7958333333333333,0.1703333333333333,0.0,6.0,0.22142857142857142
0.2,bridge_biased,8,0.7833333333333333,0.14641666666666664,0.0,6.0,0.29414285714285715
0.2,bridge_biased,9,0.7791666666666667,0.1432083333333333,0.0,6.0,0.29771428571428576
0.2,bridge_biased,10,0.8125,0.18258333333333332,0.0,6.0,0.27085714285714285
0.2,bridge_biased,11,0.7833333333333333,0.13649999999999998,0.0,6.0,0.313
0.2,bridge_biased,12,0.8208333333333333,0.15458333333333335,0.0,6.0,0.367
0.2,bridge_biased,13,0.7666666666666667,0.14641666666666667,0.0,6.0,0.2708571428571429
0.2,bridge_biased,14,0.8291666666666667,0.122875,0.0,6.0,0.31757142857142856
0.2,bridge_biased,15,0.775,0.14841666666666664,0.0,6.0,0.2611428571428571
0.2,bridge_biased,16,0.8166666666666667,0.15758333333333335,0.0,6.0,0.24757142857142855
0.2,bridge_biased,17,0.8041666666666667,0.13266666666666665,0.0,6.0,0.327
0.2,bridge_biased,18,0.6958333333333333,0.12095833333333332,0.0,6.0,0.274
0.2,bridge_biased,19,0.7791666666666667,0.14170833333333333,0.0,6.0,0.2869999999999999
0.2,bridge_biased,20,0.7791666666666667,0.14525,0.0,6.0,0.3012857142857143
0.2,bridge_biased,21,0.7583333333333333,0.13554166666666667,0.0,6.0,0.3038571428571429
0.2,bridge_biased,22,0.775,0.132125,0.0,6.0,0.21585714285714283
0.2,bridge_biased,23,0.775,0.12425000000000001,0.0,6.0,0.3558571428571428
0.2,bridge_biased,24,0.7833333333333333,0.11808333333333332,0.0,6.0,0.39257142857142857
0.2,bridge_biased,25,0.7916666666666666,0.15295833333333334,0.0,6.0,0.3848571428571428
0.2,bridge_biased,26,0.7875,0.15129166666666666,0.0,6.0,0.37628571428571433
0.2,bridge_biased,27,0.7791666666666667,0.1420833333333333,0.0,6.0,0.2431428571428571
0.2,bridge_biased,28,0.8166666666666667,0.13566666666666666,0.0,6.0,0.336
0.2,bridge_biased,29,0.8333333333333334,0.12125,0.0,6.0,0.31257142857142856
0.2,bridge_biased,30,0.7666666666666667,0.13079166666666667,0.0,6.0,0.304
0.2,bridge_biased,31,0.8333333333333334,0.1415833333333333,0.0,6.0,0.3727142857142857
0.2,bridge_biased,32,0.7833333333333333,0.14466666666666664,0.0,6.0,0.3897142857142858
0.2,bridge_biased,33,0.8291666666666667,0.1455833333333333,0.0,6.0,0.32257142857142856
0.2,bridge_biased,34,0.8,0.151875,0.0,6.0,0.24657142857142855
0.2,bridge_biased,35,0.7666666666666667,0.16166666666666668,0.0,6.0,0.29542857142857143
0.2,bridge_biased,36,0.7583333333333333,0.13779166666666665,0.0,6.0,0.29842857142857143
0.2,bridge_biased,37,0.7125,0.10945833333333331,0.0,6.0,0.34757142857142853
0.2,bridge_biased,38,0.8291666666666667,0.14125,0.0,6.0,0.25157142857142856
0.2,bridge_biased,39,0.7833333333333333,0.15,0.0,6.0,0.35357142857142854
0.2,bridge_biased,40,0.8041666666666667,0.17562499999999998,0.0,6.0,0.302
0.2,bridge_biased,41,0.7833333333333333,0.12429166666666668,0.0,6.0,0.24585714285714286
0.2,bridge_biased,42,0.8125,0.15454166666666666,0.0,6.0,0.21457142857142855
0.2,bridge_biased,43,0.825,0.14033333333333334,0.0,6.0,0.3018571428571428
0.2,bridge_biased,44,0.7875,0.14091666666666666,0.0,6.0,0.24371428571428572
0.2,bridge_biased,45,0.775,0.170875,0.0,6.0,0.205
0.2,bridge_biased,46,0.7541666666666667,0.14116666666666663,0.0,6.0,0.281
0.2,bridge_biased,47,0.7458333333333333,0.1445833333333333,0.0,6.0,0.28928571428571426
0.2,bridge_biased,48,0.75,0.131375,0.0,6.0,0.4051428571428572
0.2,bridge_biased,49,0.7875,0.17662499999999998,0.0,6.0,0.2762857142857143
0.2,bridge_biased,50,0.75,0.163,0.0,6.0,0.23014285714285715
0.2,nonbridge_biased,1,0.7458333333333333,0.14183333333333334,0.0,6.0,0.325
0.2,nonbridge_biased,2,0.7583333333333333,0.13262499999999997,0.0,6.0,0.32057142857142856
0.2,nonbridge_biased,3,0.7458333333333333,0.14679166666666665,0.0,6.0,0.27871428571428575
0.2,nonbridge_biased,4,0.7625,0.14270833333333333,0.0,6.0,0.2864285714285714
0.2,nonbridge_biased,5,0.7166666666666667,0.13891666666666663,0.0,6.0,0.3287142857142857
0.2,nonbridge_biased,6,0.775,0.15404166666666666,0.0,6.0,0.322
0.2,nonbridge_biased,7,0.7416666666666667,0.14962499999999998,0.0,6.0,0.3908571428571429
0.2,nonbridge_biased,8,0.7708333333333334,0.13529166666666664,0.0,6.0,0.2612857142857143
0.2,nonbridge_biased,9,0.7166666666666667,0.13929166666666665,0.0,6.0,0.2642857142857143
0.2,nonbridge_biased,10,0.7916666666666666,0.17804166666666668,0.0,6.0,0.2738571428571429
0.2,nonbridge_biased,11,0.7125,0.1408333333333333,0.0,6.0,0.3677142857142857
0.2,nonbridge_biased,12,0.7958333333333333,0.12491666666666665,0.0,6.0,0.24342857142857144
0.2,nonbridge_biased,13,0.6916666666666667,0.16258333333333333,0.0,6.0,0.1847142857142857
0.2,nonbridge_biased,14,0.7583333333333333,0.14024999999999999,0.0,6.0,0.36342857142857143
0.2,nonbridge_biased,15,0.7833333333333333,0.13670833333333332,0.0,6.0,0.3568571428571429
0.2,nonbridge_biased,16,0.7416666666666667,0.13858333333333334,0.0,6.0,0.28214285714285714
0.2,nonbridge_biased,17,0.7833333333333333,0.15166666666666662,0.0,6.0,0.2727142857142857
0.2,nonbridge_biased,18,0.7583333333333333,0.1555,0.0,6.0,0.28928571428571426
0.2,nonbridge_biased,19,0.7708333333333334,0.11766666666666666,0.0,6.0,0.30528571428571427
0.2,nonbridge_biased,20,0.75,0.16216666666666668,0.0,6.0,0.407
0.2,nonbridge_biased,21,0.7958333333333333,0.13854166666666665,0.0,6.0,0.4271428571428571
0.2,nonbridge_biased,22,0.7208333333333333,0.1307083333333333,0.0,6.0,0.26442857142857146
0.2,nonbridge_biased,23,0.7583333333333333,0.13541666666666663,0.0,6.0,0.32471428571428573
0.2,nonbridge_biased,24,0.7375,0.13608333333333328,0.0,6.0,0.33985714285714286
0.2,nonbridge_biased,25,0.7875,0.135875,0.0,6.0,0.25971428571428573
0.2,nonbridge_biased,26,0.7625,0.1259583333333333,0.0,6.0,0.3499999999999999
0.2,nonbridge_biased,27,0.8,0.12791666666666665,0.0,6.0,0.2924285714285714
0.2,nonbridge_biased,28,0.7458333333333333,0.13662499999999997,0.0,6.0,0.35285714285714287
0.2,nonbridge_biased,29,0.7625,0.158125,0.0,6.0,0.2341428571428571
0.2,nonbridge_biased,30,0.7666666666666667,0.1379583333333333,0.0,6.0,0.3217142857142858
0.2,nonbridge_biased,31,0.75,0.14279166666666665,0.0,6.0,0.29757142857142854
0.2,nonbridge_biased,32,0.7875,0.12983333333333333,0.0,6.0,0.21771428571428572
0.2,nonbridge_biased,33,0.7583333333333333,0.17295833333333335,0.0,6.0,0.24228571428571427
0.2,nonbridge_biased,34,0.7333333333333333,0.1368333333333333,0.0,6.0,0.3664285714285714
0.2,nonbridge_biased,35,0.8041666666666667,0.16479166666666664,0.0,6.0,0.3315714285714286
0.2,nonbridge_biased,36,0.8,0.16720833333333332,0.0,6.0,0.34128571428571436
0.2,nonbridge_biased,37,0.7291666666666666,0.11891666666666662,0.0,6.0,0.33342857142857146
